CODE,NAME
14088,с. Габрака
14091,с. Габрене
14101,с. Габрешевци
14115,с. Габрина
14129,с. Габрица
14132,с. Габрица
14146,с. Габровдол
14163,с. Габровица
14180,с. Габровница
14194,с. Габровница
14204,с. Габрово
14218,гр. Габрово
14221,с. Габрово
14235,с. Габровци
14249,с. Габър
14252,с. Габърница
14275,с. Гавраилово
14283,с. Гаврил Геново
14297,с. Гаганица
14307,с. Гагово
14310,с. Гайдари
14324,с. Гайкини
14338,с. Гайтанево
14341,с. Гайтаниново
14355,с. Гайтаните
14369,с. Гайтанци
14386,с. Галата
14390,с. Галатин
14406,с. Галиче
14413,с. Галище
14427,с. Галово
14430,с. Ганев дол
14458,с. Ганчовец
14461,с. Бов
14475,с. Лакатник
14489,с. Орешец
14492,гр. Кресна
14516,с. Хитрино
14521,с. Златарица
14533,с. Гарван
14547,с. Гарван
14550,с. Гарваново
14578,с. Гащевци
14581,с. Гега
14605,с. Гела
14619,с. Гелеменово
14647,с. Генерал Гешево
14653,с. Генерал Кантарджиево
14667,с. Генерал Киселово
14670,с. Генерал Колево
14684,с. Генерал Колево
14698,с. Генерал Мариново
14708,с. Генералово
14711,гр. Генерал Тошево
14725,с. Генерал Тошево
14742,с. Геновци
14756,с. Генчовци
14762,с. Геня
14773,с. Георги Дамяново
14787,с. Георги Добрево
14800,с. Гергевец
14814,с. Гергини
14831,с. Герман
14859,с. Геша
14862,с. Гешаново
14876,с. Гиген
14888,с. Искър
14893,с. Гигинци
14903,с. Гинци
14917,с. Гирчевци
14920,с. Гита
14934,с. Глава
14948,с. Главан
14951,с. Главан
14965,с. Главановци
14979,с. Главановци
14982,с. Главанци
14996,с. Главатар
15000,с. Главатарци
15014,с. Главаци
15028,с. Главиница
15031,гр. Главиница
15045,с. Глашатай
15059,с. Гледаци
15062,с. Гледачево
15093,с. Гледка
15103,с. Глогинка
15117,с. Глогино
15120,с. Глоговец
15134,с. Глоговица
15148,с. Глогово
15151,гр. Глоджево
15165,с. Гложене
15179,с. Глумово
15182,с. Глумче
15196,с. Глутниците
15206,с. Глуфишево
15216,с. Глухар
15223,с. Глушка
15237,с. Глушник
15240,с. Гнездаре
15268,с. Гняздово
15271,с. Говедаре
15285,с. Говедарци
15299,с. Говежда
15309,гр. Годеч
15312,с. Годешево
15326,с. Годлево
15331,с. Гоз
15343,с. Гоздевица
15357,с. Гоздейка
15374,с. Голак
15391,с. Големани
15401,с. Големаните
15415,с. Големаново
15429,с. Големанци
15432,с. Голема Раковица
15446,с. Голема Фуча
15457,с. Голям Върбовник
15463,с. Големи Българени
15480,с. Големи Станчовци
15494,с. Големо Бабино
15504,с. Големо Бучино
15518,с. Големо Малово
15521,с. Голямо Пещене
15535,с. Големо село
15549,с. Голем Цалим
15552,с. Голец
15566,с. Голеш
15572,с. Голеш
15583,с. Голешово
15597,с. Голица
15607,с. Голобрад
15610,с. Голобрадово
15638,с. Гълъбово
15641,с. Голяма бара
15655,с. Голяма Брестница
15669,с. Голяма вода
15698,с. Голяма долина
15703,с. Голяма Желязна
15713,с. Голяма Чинка
15727,с. Голям Девесил
15730,с. Голям Дервент
15744,с. Голям дол
15758,с. Голям извор
15761,с. Голям извор
15775,с. Голям извор
15789,с. Голям манастир
15792,с. Голямо Асеново
15802,с. Голямо Белово
15816,с. Голямо Буково
15829,с. Голямо Враново
15833,с. Голямо градище
15850,с. Голямо Доляне
15864,с. Голямо Дряново
15878,с. Голямо Каменяне
15881,с. Голямо Крушево
15895,с. Голямо ново
15919,с. Голямо Соколово
15922,с. Голямо църквище
15936,с. Голямо Чочовени
15944,гр. Шивачево
15953,с. Голям Поровец
15967,с. Подгорец
15970,с. Голям чардак
15984,с. Голяновци
15998,с. Гомотарци
16002,с. Горан
16016,с. Горановци
16026,с. Горановци
16033,с. Гореме
16047,с. Горен Еневец
16050,с. Горен чифлик
16064,с. Горица
16078,с. Горица
16081,с. Горица
16095,с. Горичане
16105,с. Горичево
16119,с. Горна Бела речка
16122,с. Горна Бешовица
16136,с. Горна Брезница
16141,с. Горна Брестница
16153,с. Горна Вереница
16167,с. Горна Врабча
16170,с. Горна Глоговица
16184,с. Септемврийци
16198,с. Горна Гращица
16208,с. Горна Диканя
16211,с. Горна Златица
16225,с. Горна Кабда
16239,с. Горна Ковачица
16242,с. Горна Козница
16256,с. Горна Кремена
16267,с. Горна крепост
16273,с. Горна Крушица
16287,с. Горна кула
16290,с. Горна Липница
16300,с. Горна Лука
16314,с. Горна Малина
16328,с. Горна махала
16331,с. Горна Мелна
16345,с. Горна Митрополия
16359,гр. Горна Оряховица
16362,с. Горна Рибница
16376,с. Горна Росица
16382,с. Горна Секирна
16393,с. Горна Студена
16403,с. Горна Сушица
16417,с. Горна Хаджийска
16420,с. Горна Хубавка
16448,с. Горни Богров
16451,с. Горни Вадин
