postal_code,location,manuplicity,admin_center
7557,БИСТРА,АЛФАТАР,СИЛИСТРА
7777,БИСТРА,ТЪРГОВИЩЕ,ТЪРГОВИЩЕ
7121,БИСТРЕНЦИ,БЯЛА,РУСЕ
9412,БИСТРЕЦ,КРУШАРИ,ДОБРИЧ
8334,БИСТРЕЦ,СРЕДЕЦ,БУРГАС
3527,БИСТРИЛИЦА,БЕРКОВИЦА,МОНТАНА
2724,БИСТРИЦА,БЛАГОЕВГРАД,БЛАГОЕВГРАД
2644,БИСТРИЦА,ДУПНИЦА,КЮСТЕНДИЛ
1444,БИСТРИЦА,район ПАНЧАРЕВО,СОФИЯ
6769,БИСТРОГЛЕД,АРДИНО,КЪРДЖАЛИ
3488,БЛАГОВО,МОНТАНА,МОНТАНА
9812,БЛАГОВО,ШУМЕН,ШУМЕН
2700,БЛАГОЕВГРАД,,БЛАГОЕВГРАД
7275,БЛАГОЕВО,РАЗГРАД,РАЗГРАД
5178,БЛАГОЕВО,СТРАЖИЦА,ВЕЛИКО ТЪРНОВО
6955,БЛАГУН,КРУМОВГРАД,КЪРДЖАЛИ
2678,БЛАЖИЕВО,БОБОШЕВО,КЮСТЕНДИЛ
2548,БЛАТЕЦ,КЮСТЕНДИЛ,КЮСТЕНДИЛ
8878,БЛАТЕЦ,СЛИВЕН,СЛИВЕН
2441,БЛАТЕШНИЦА,ЗЕМЕН,ПЕРНИК
2617,БЛАТИНО,ДУПНИЦА,КЮСТЕНДИЛ
4537,БЛАТНИЦА,СТРЕЛЧА,ПАЗАРДЖИК
2657,БЛАТО,БОБОВ ДОЛ,КЮСТЕНДИЛ
2941,БЛАТСКА,ХАДЖИДИМОВО,БЛАГОЕВГРАД
6742,БЛЕНИКА,КЪРДЖАЛИ,КЪРДЖАЛИ
8174,БЛИЗНАК,МАЛКО ТЪРНОВО,БУРГАС
9787,БЛИЗНАЦИ,ХИТРИНО,ШУМЕН
9132,БЛИЗНАЦИ,АВРЕН,ВАРНА
8896,БЛИЗНЕЦ,ТВЪРДИЦА,СЛИВЕН
9240,БЛЪСКОВО,ПРОВАДИЯ,ВАРНА
5078,БЛЪСКОВЦИ,ЕЛЕНА,ВЕЛИКО ТЪРНОВО
5453,БОАЗЪТ,СЕВЛИЕВО,ГАБРОВО
5300,БОБЕВЦИ,ГАБРОВО,ГАБРОВО
2567,БОБЕШИНО,КЮСТЕНДИЛ,КЮСТЕНДИЛ
2670,БОБОВ ДОЛ,БОБОВ ДОЛ,КЮСТЕНДИЛ
9616,БОБОВЕЦ,БАЛЧИК,ДОБРИЧ
2454,БОБОРАЦИ,РАДОМИР,ПЕРНИК
2660,БОБОШЕВО,БОБОШЕВО,КЮСТЕНДИЛ
2270,БОВ,СВОГЕ,СОФИЯ
6781,БОГАТИНО,АРДИНО,КЪРДЖАЛИ
5421,БОГАТОВО,СЕВЛИЕВО,ГАБРОВО
9348,БОГДАН,ДОБРИЧ,ДОБРИЧ
4343,БОГДАН,КАРЛОВО,ПЛОВДИВ
